minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
0,100,A区（报刊218）,136,43,93
0,101,B区（报刊222）,152,112,40
0,113,C区(新书借阅区),4,4,0
2,100,A区（报刊218）,136,43,93
2,101,B区（报刊222）,152,112,40
2,113,C区(新书借阅区),4,4,0
5,100,A区（报刊218）,136,45,91
5,101,B区（报刊222）,152,115,37
5,113,C区(新书借阅区),4,4,0
6,100,A区（报刊218）,136,45,91
6,101,B区（报刊222）,152,115,37
6,113,C区(新书借阅区),4,4,0
8,100,A区（报刊218）,136,46,90
8,101,B区（报刊222）,152,118,34
8,113,C区(新书借阅区),4,4,0
10,100,A区（报刊218）,136,47,89
10,101,B区（报刊222）,152,120,32
10,113,C区(新书借阅区),4,4,0
12,100,A区（报刊218）,136,48,88
12,101,B区（报刊222）,152,120,32
12,113,C区(新书借阅区),4,4,0
14,100,A区（报刊218）,136,48,88
14,101,B区（报刊222）,152,120,32
14,113,C区(新书借阅区),4,4,0
16,100,A区（报刊218）,136,48,88
16,101,B区（报刊222）,152,120,32
16,113,C区(新书借阅区),4,4,0
18,100,A区（报刊218）,136,50,86
18,101,B区（报刊222）,152,122,30
18,113,C区(新书借阅区),4,4,0
20,100,A区（报刊218）,136,52,84
20,101,B区（报刊222）,152,122,30
20,113,C区(新书借阅区),4,4,0
22,100,A区（报刊218）,136,53,83
22,101,B区（报刊222）,152,122,30
22,113,C区(新书借阅区),4,4,0
24,100,A区（报刊218）,136,54,82
24,101,B区（报刊222）,152,127,25
24,113,C区(新书借阅区),4,4,0
26,100,A区（报刊218）,136,54,82
26,101,B区（报刊222）,152,129,23
26,113,C区(新书借阅区),4,4,0
28,100,A区（报刊218）,136,57,79
28,101,B区（报刊222）,152,131,21
28,113,C区(新书借阅区),4,4,0
30,100,A区（报刊218）,136,60,76
30,101,B区（报刊222）,152,136,16
30,113,C区(新书借阅区),4,4,0
32,100,A区（报刊218）,136,63,73
32,101,B区（报刊222）,152,134,18
32,113,C区(新书借阅区),4,4,0
34,100,A区（报刊218）,136,66,70
34,101,B区（报刊222）,152,135,17
34,113,C区(新书借阅区),4,4,0
